"id","id_cliente","id_tipo_pqrs","fecha","contenido"
"58","14","1","2024-11-20","Pido que se me envíe una confirmación del pedido realizado."
"59","22","2","2024-11-25","Me quejo de la falta de asistencia al cliente."
"60","94","3","2024-12-01","Hice un reclamo porque un vestido llegó con una mancha."
"61","12","4","2024-12-05","Solicito un catálogo digital de las últimas colecciones."
"62","25","1","2024-12-10","Solicito información sobre la política de cambios y devoluciones."
"63","13","2","2024-12-12","Me quejo de que no he recibido el producto después de una semana de haberlo pedido."
"64","50","3","2024-12-15","Hice un reclamo porque el vestido llegó con un defecto de fabricación."
"65","88","4","2024-12-18","Solicito un cambio de talla para un vestido que no me queda bien."
"66","71","1","2024-12-20","Pido detalles sobre el programa de lealtad para clientes."
"67","60","2","2024-12-22","Me quejo de que el personal no fue amable durante mi última visita a la tienda."
"68","34","3","2024-12-25","Reclamo por el cobro erróneo en mi última compra, se me cobraron productos que no adquirí."
"69","7","4","2024-12-28","Solicito información sobre las próximas promociones para el año nuevo."
"70","90","1","2024-12-30","Pido asistencia para completar mi compra en línea, no logro finalizar el proceso."
"71","19","2","2025-01-02","Me quejo de que el sitio web es difícil de navegar y no encuentro lo que busco."
"72","2","3","2025-01-04","Hice un reclamo porque un par de zapatos no se ajustan correctamente."
"73","35","4","2025-01-06","Solicito una prueba de los productos antes de comprarlos al por mayor."
"74","99","1","2025-01-08","Pido información sobre los métodos de pago aceptados para compras en línea."
"75","48","2","2025-01-10","Me quejo de que el último pedido llegó sin las etiquetas de identificación."
"76","66","3","2025-01-12","Hice un reclamo porque la calidad de la tela de un vestido es inferior a lo esperado."
"77","8","4","2025-01-15","Solicito información sobre las colaboraciones con diseñadores locales."
"78","57","1","2025-01-17","Pido detalles sobre la entrega de productos a otras ciudades."
"79","49","2","2025-01-20","Me quejo de que el horario de atención no se respeta en la tienda."
"80","83","3","2025-01-22","He realizado un reclamo porque la talla de un abrigo es incorrecta."
"81","43","4","2025-01-25","Solicito un reembolso por un artículo que no fue recibido."
"82","10","1","2025-01-28","Pido información sobre la sostenibilidad de los productos que ofrecen."
"83","17","2","2025-02-01","Me quejo de que no se me ofreció una solución a mi problema en la tienda."
"84","27","3","2025-02-03","Hice un reclamo por la tardanza en la entrega de un pedido urgente."
"85","5","4","2025-02-05","Solicito una revisión de mi historial de compras y mis puntos de lealtad."
"86","37","1","2025-02-08","Pido información sobre el lanzamiento de la próxima colección."
"87","21","2","2025-02-10","Me quejo de que el envío fue realizado sin mi confirmación."
"88","96","3","2025-02-12","He realizado un reclamo por un pedido que fue cancelado sin previo aviso."
"89","59","4","2025-02-15","Solicito que se me envíe una confirmación de mi pedido."
"90","4","1","2025-02-18","Pido asistencia para modificar un pedido que acabo de realizar."
"91","11","2","2025-02-20","Me quejo de que el equipo de atención al cliente no tiene conocimiento de los productos."
"92","67","3","2025-02-23","Hice un reclamo porque no se me ha hecho el reembolso prometido."
"93","14","4","2025-02-25","Solicito un resumen de las promociones disponibles este mes."
