"id_cliente","id_producto","fecha","calificacion","contenido"
"28","4","2024-01-12","4","Está bien, aunque el precio es un poco elevado."
"28","6","2024-01-12","4","Me gusta, pero el color es diferente al de la foto."
"29","3","2024-01-12","4","Buena calidad, aunque la talla es un poco grande."
"29","5","2024-01-12","5","¡Me encanta esta falda! Perfecta para cualquier ocasión."
"30","2","2024-01-12","5","Me encanta, es perfecta para el trabajo."
"30","3","2024-01-12","4","Me gustan mucho, aunque la talla es un poco grande."
"31","2","2024-01-15","3","La calidad es aceptable, pero creo que deberían mejorar los botones."
"31","4","2024-01-12","4","Es una buena chaqueta, pero el precio es un poco alto."
"31","5","2024-01-12","5","Me encanta la falda, combina con todo."
"32","2","2024-01-12","5","Me encanta el estilo, es perfecto para mí."
"34","2","2024-01-12","5","Me encanta, se ve genial con cualquier prenda."
"35","1","2024-01-15","3","Está bien, pero esperaba mejor calidad."
"35","6","2024-01-15","2","No estoy satisfecha con la calidad, se arruga mucho."
"36","5","2024-01-15","3","El diseño es lindo, pero es muy corta."
"37","4","2024-01-15","2","Me esperaba algo mejor por el precio."
"37","5","2024-01-15","3","No es lo que esperaba, demasiado corta."
"38","3","2024-01-15","3","Están bien, pero no son tan cómodos como pensé."
"38","4","2024-01-15","2","No es tan bonita como esperaba, el diseño es básico."
"39","4","2024-01-15","2","No cumplió con mis expectativas, es demasiado básica."
"39","6","2024-01-15","2","La calidad no me convenció, esperaba más."
"40","1","2024-01-18","4","Es perfecto para mis vacaciones de verano, ¡me encanta!"
"41","6","2024-01-15","2","No estoy satisfecha con la calidad, no era lo que esperaba."
"42","1","2024-01-18","5","Me quedó perfecto y la calidad es excelente. ¡Lo recomiendo!"
"43","5","2024-01-15","3","No es lo que esperaba, demasiado corta."
"43","6","2024-01-15","2","No me gusta cómo se siente, es muy resbaladiza."
"44","1","2024-01-15","3","No está mal, pero esperaba más calidad."
"44","2","2024-01-15","2","La calidad no es la mejor, pero el precio es razonable."
"44","4","2024-01-15","3","No me convenció el diseño, pero cumple su función."
"45","4","2024-01-15","2","No es tan resistente como esperaba, se dañó."
"45","6","2024-01-15","3","El diseño es bonito, pero no es tan ajustada como esperaba."
"46","1","2024-01-15","3","El color no era lo que esperaba, pero sigue siendo bonito."
"46","2","2024-01-15","3","La calidad es promedio, podría ser mejor."
"46","3","2024-01-15","3","Los pantalones son cómodos, pero el tejido no es duradero."
"47","3","2024-01-15","3","Están bien, pero creo que deberían ser más ajustados."
"47","5","2024-01-15","3","El diseño es lindo, pero es muy corta para mí."
"48","3","2024-01-15","3","Los pantalones son bonitos, pero no son muy cómodos."
"48","5","2024-01-15","3","El material es un poco transparente, no me gusta eso."
"49","2","2024-01-18","1","No me gustó nada, se arruga muy fácilmente."
"49","3","2024-01-15","3","Son bonitos, pero no son muy cómodos."
"51","2","2024-01-15","3","Es buena, pero podría mejorar en calidad."
"51","3","2024-01-18","2","El material es delgado, no creo que aguante mucho uso."
"52","2","2024-01-15","2","La calidad de la tela no es la mejor."
"53","1","2024-01-18","4","Me encanta cómo me queda, es muy fresco."
"54","4","2024-01-18","5","Espectacular chaqueta, la uso todos los días."
"54","5","2024-01-18","1","No me gustó para nada, la calidad es mala."
"56","1","2024-01-20","2","El vestido no es como esperaba, el color es diferente al de la foto."
"56","6","2024-01-18","5","Es perfecta para ocasiones especiales, me siento elegante."
"57","6","2024-01-18","5","Es perfecta para ocasiones especiales, ¡me encanta!"
"58","4","2024-01-18","5","Me encanta, es perfecta para el invierno."
"58","5","2024-01-18","1","La calidad no es buena, se siente muy delgada."
"61","1","2024-01-18","5","Ideal para una fiesta, lo recomiendo ampliamente."
"61","5","2024-01-18","1","No me gustó, la calidad es mala."
"62","1","2024-01-20","1","El vestido llegó con un defecto y no puedo usarlo."
"62","3","2024-01-18","1","No me gustaron, se sienten baratos."
"63","3","2024-01-18","2","No era lo que esperaba, me decepcionó."
"63","6","2024-01-18","5","Perfecta para ocasiones especiales, ¡me encanta!"
"64","1","2024-01-18","4","Me gusta, pero la talla no es exacta."
"64","3","2024-01-18","1","No me gustaron, son muy ajustados."
"64","4","2024-01-18","5","Me encanta, la uso todos los días, es perfecta."
"65","2","2024-01-18","2","No estoy satisfecha, no es cómoda."
"65","4","2024-01-18","5","Me encanta, es mi favorita para invierno."
"65","5","2024-01-18","1","No me gustó la calidad, se siente muy barata."
"65","6","2024-01-18","5","Gran blusa, me encanta usarla para salir."
"66","2","2024-01-20","4","Buena relación calidad-precio, me gustaría ver más colores."
"66","4","2024-01-18","5","La mejor chaqueta que he tenido, me mantiene caliente."
"66","6","2024-01-18","5","Es perfecta para ocasiones especiales, ¡me encanta!"
"67","2","2024-01-18","3","Está bien, pero creo que debería ser un poco más larga."
"67","3","2024-01-18","1","No me gustaron, se sienten baratos."
"69","5","2024-01-18","1","La calidad no es buena, no se ajusta bien."
"70","5","2024-01-20","4","Bonita y cómoda, aunque debería haber más colores."
"71","2","2024-01-18","2","No cumplió mis expectativas, no me gustó el tejido."
"72","1","2024-01-20","1","El vestido llegó en mal estado, muy decepcionante."
"72","4","2024-01-20","3","Está bien, pero podría tener un diseño más atractivo."
"74","4","2024-01-20","3","Está bien, pero podría tener más detalles de diseño."
"78","2","2024-01-18","3","Buena, pero creo que el precio es elevado."
"78","5","2024-01-20","4","Bonita, aunque me gustaría que tuviera más tallas."
"79","3","2024-01-20","4","Me gustan mucho, son ideales para el trabajo."
"80","1","2024-01-20","2","Llegó dañado, muy decepcionante."
"80","6","2024-01-20","3","Me gusta, pero esperaba que fuera más ajustada."
"81","2","2024-01-20","4","Es una buena camisa, volveré a comprar."
"82","4","2024-01-20","3","Está bien, pero podría tener un mejor diseño."
"83","1","2024-01-20","1","Me decepcionó, el vestido llegó con un defecto."
"83","3","2024-01-20","4","Me gustan mucho, son ideales para el día a día."
"83","5","2024-01-20","4","Bonita y cómoda, aunque podría haber más tallas."
"85","4","2024-01-20","2","No es tan resistente como esperaba, se rasgó fácilmente."
"86","6","2024-01-20","3","Es bonita, pero el precio es un poco alto."
"87","3","2024-01-20","4","Son ideales para la oficina, me gustan mucho."
"88","2","2024-01-20","4","Una buena compra, definitivamente volveré a comprar más."
"89","3","2024-01-20","4","Me gustan mucho, perfectos para la oficina."
"89","4","2024-01-20","3","La chaqueta es buena, pero podría tener un mejor diseño."
"89","6","2024-01-20","3","Me gusta, pero debería ser un poco más ajustada."
"90","3","2024-01-20","4","Muy buenos pantalones para el trabajo, me gustaron."
"90","5","2024-01-20","4","Bonita y cómoda, aunque un poco cara."
"90","6","2024-01-20","2","Me decepcionó, se arrugó después de un lavado."
"92","6","2024-01-20","3","Me gusta, pero podría ser más ajustada."
"94","5","2024-01-20","4","Bonita y cómoda, aunque debería tener más colores."
"95","2","2024-01-20","4","Buena compra, volveré por más colores."
"99","2","2024-01-20","4","Una buena compra, definitivamente volveré a comprar más."
