"id_cliente","id_pregunta","contenido"
"38","3","Los productos son buenos, pero no estoy seguro si recomendaría la tienda."
"39","4","Podrían mejorar en las tallas disponibles, a veces no encuentro mi talla."
"40","4","Las prendas deberían ser más asequibles, aunque la calidad es buena."
"41","9","Me gustaría ver más opciones de ropa ecológica y sostenible."
"42","2","No encontré muchas opciones en mi talla, eso me frustró un poco."
"42","7","La marca es clave, solo compro de marcas que conozco y confío."
"43","10","No sigo a muchas personas, pero confío en las recomendaciones de amigos."
"44","11","Recibí asistencia, pero sentí que el personal estaba apurado."
"45","1","No estoy satisfecho con la calidad, algunas prendas se desgastan muy rápido."
"46","14","Fue un poco largo, pero el personal compensó con su amabilidad."
"47","4","Podrían mejorar en la variedad de estilos, a veces siento que son repetitivos."
"48","6","Soy fanático de la ropa deportiva, me gusta estar cómodo mientras hago ejercicio."
"49","3","Recomiendo sus productos, pero he tenido malas experiencias con el servicio."
"50","13","No recibí la asistencia que esperaba, parecía que estaban ocupados."
"54","2","La experiencia fue genial, me ayudaron a encontrar exactamente lo que necesitaba."
"54","6","Prefiero un estilo ecléctico, me gusta mezclar diferentes estilos."
"55","2","Fue una experiencia muy positiva, disfruté de la atención personalizada."
"58","5","No estoy satisfecho, sentí que el personal no estaba bien informado."
"58","9","Me encantaría ver más prendas de tallas grandes, son difíciles de encontrar."
"59","12","Fue un poco complicado, había mucha gente y me distraje."
"60","11","La atención fue promedio, creo que podrían ser más amigables."
"61","14","Necesitan reducir el tiempo de espera, a veces es excesivo."
"63","3","Sí, siempre que me pregunten sobre dónde comprar ropa, diré que vengan aquí."
"64","7","Me importa mucho el diseño, quiero que la ropa se vea bien."
"65","4","Me gustaría que ofrecieran más ropa para ocasiones especiales."
"66","8","Generalmente solo compro cuando necesito algo específico."
"68","1","En general, estoy satisfecho con la calidad, pero hay margen de mejora."
"71","13","El personal fue excelente, me atendieron sin que tuviera que pedir ayuda."
"72","3","Definitivamente recomendaría sus productos a quienes busquen calidad."
"75","10","Las bloggers de moda son mis favoritas, suelen tener buen gusto."
"76","4","Sería genial ver más opciones de ropa casual y cómoda."
"77","3","No recomendaría la tienda debido a un mal servicio en mi última visita."
"78","1","Me encanta la calidad, especialmente de las prendas de abrigo, son muy duraderas."
"79","7","Busco comodidad ante todo, la ropa debe ser fácil de llevar."
"82","12","No fue fácil, algunas áreas estaban desordenadas y confusas."
"85","2","El proceso de compra fue bastante desorganizado, debería mejorarse."
"86","5","El servicio al cliente fue sobresaliente, me ayudaron en todo momento."
"88","4","Me gustaría ver más innovación en los diseños, a veces se siente repetitivo."
"88","11","La atención al cliente es inmejorable, siempre son amables y atentos."
"89","10","Me gusta seguir tendencias, así que siempre estoy atento a lo que llevan las celebridades."
"90","4","Desearía que hubiera más prendas de moda sostenible en la colección."
"92","6","Me gustan los estilos clásicos, son atemporales y siempre están de moda."
"94","8","Compro ropa nueva cada seis meses, prefiero una colección más curada."
"97","3","Recomendaría la tienda, pero no a todos, debido a mis experiencias recientes."
"99","9","Quiero más colaboraciones con diseñadores locales, eso sería genial."
"99","14","El tiempo de espera fue aceptable, pero podrían optimizarlo un poco."
"100","2","Me decepcionó la experiencia, había mucha gente y el personal no pudo ayudarme."
